country,horizon,naive_mae,naive_rmse,seasonal_naive_mae,seasonal_naive_rmse,mae,rmse,smape,improve_vs_naive,improve_vs_seasonal,beat_naive,beat_seasonal
bangkok,1_week,4.3025,7.2194,9.016,10.6515,5.3548,8.5123,10.97,-24.457873329459613,40.607808340727594,False,True
bangkok,1_month,7.9229,10.7254,14.6601,18.5825,10.9015,13.8706,18.63,-37.59482007850661,25.63829714667703,False,True
canberra,1_week,1.8127,2.2372,3.0993,3.7686,1.9591,2.4639,20.58,-8.076350195840464,36.78895234407769,False,True
canberra,1_month,6.5089,8.5128,7.0034,9.1322,6.3047,8.2667,47.06,3.1372428520948135,9.976582802638713,True,True
hongkong,1_week,3.8952,4.9436,10.5875,12.2725,14.0407,14.9519,30.89,-260.46159375641815,-32.61582054309326,False,False
hongkong,1_month,9.281,12.2891,14.7021,17.8069,11.0972,13.183,23.77,-19.569011959918114,24.5196264479224,False,True
london,1_week,3.6845,4.3283,4.9821,5.7976,4.9217,5.8232,28.42,-33.5785045460714,1.2123401778366465,False,True
london,1_month,4.2056,5.882,5.9381,7.9558,4.7562,5.8963,26.26,-13.092067719231506,19.903672892002504,False,True
philadelphia,1_week,9.4345,11.7672,10.7738,13.1605,8.7241,10.142,41.51,7.529810800784355,19.024856596558315,True,True
philadelphia,1_month,9.2152,11.3689,10.7847,12.9327,7.2024,8.8122,34.3,21.842173799809007,33.2165011544132,True,True
